station_name,station_latitude,station_longitude,free_bikes,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_review_count
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,The Mule,Mexican,"41 King William Street,Hamilton, ON L8R 1A2,Canada",930.0929839065402,43.25726,-79.86713,4.0,177
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Planted in Hamilton,Vegan,"225 John Street S,Hamilton, ON L8N 2C7,Canada",340.5511090485297,43.2503352762455,-79.8679620207627,4.5,37
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,One Duke Restaurant,Seafood,"1 Duke Street,Hamilton, ON L8P 1W9,Canada",226.8046205730643,43.25152,-79.87206,3.5,23
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,The French,Bistros,"37 King William Street,Hamilton, ON L8R 1A1,Canada",941.4376525109848,43.25741,-79.86748,4.0,98
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Bon Temps,Canadian (New),"61 Young Street,Hamilton, ON L8N 1V1,Canada",296.2399132747136,43.25088,-79.86872,5.0,7
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Redchurch Cafe + Gallery,Cafes,"68 King Street E,Hamilton, ON L8N 1A6,Canada",759.3794796955814,43.25551,-79.86725,4.5,23
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,The Works,Burgers,"2 King Street W,Unit 230,Hamilton, ON L8P 1A2,Canada",876.6501184591548,43.2574961574363,-79.8712256690338,4.0,37
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,Indian,"43 King William Street,Hamilton, ON L8R 1A2,Canada",937.0321584419492,43.25725,-79.86708,4.0,40
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Ajio Sushi,Japanese,"161 King Street E,Hamilton, ON L8R 1J6,Canada",885.9392111884996,43.21798,-79.74587,4.0,41
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,La Piazza Allegra,Italian,"180 James Street S,Hamilton, ON L8P 4V1,Canada",180.78765794573616,43.25139,-79.8717,3.5,8
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Shakespeare's Steak and Seafood,Seafood,"181 Main Street E,Hamilton, ON L8N 1H2,Canada",914.9691527446714,43.25372,-79.86234,4.0,21
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Sapporo Japanese Restaurant,Japanese,"96 Main St E,Hamilton, ON L8N 1G3,Canada",683.8076065832387,43.25429,-79.866,3.5,91
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Royal Pizza & Wings,Pizza,"180 James Street S,Hamilton, ON L8P 4V1,Canada",180.78765794573616,43.25139,-79.8717,3.5,21
