bike_station,name,categories,address,distance,poi_latitude,poi_longitude,ratings,total_ratings,total_tips,total_photos
Bay at Bold,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",748,43.257258,-79.867202,4.4,54.0,14.0,83.0
Bay at Bold,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",754,43.257213,-79.867056,4.2,22.0,22.0,122.0
James S at Charlton,Red Crow Coffee,Café,"211 James St S (Charlton Ave), Hamilton ON L8P 3B2",48,43.250202,-79.871665,4.0,32.0,18.0,28.0
James S at Charlton,Wass Ethiopian Restaurant,Ethiopian Restaurant,"207 James St N (at Forest Ave.), Hamilton ON L8R 2L2",63,43.250254,-79.87172,3.9,16.0,5.0,10.0
James S at Charlton,One Duke Restaurant & Lounge,American Restaurant,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",242,43.251462,-79.872017,4.3,46.0,20.0,154.0
James S at Charlton,The Pheasant Plucker,Pub,"20 Augusta St (James St.), Hamilton ON L8N 1P7",297,43.25192,-79.870426,4.0,71.0,15.0,23.0
James S at Charlton,The Ship,Pub,"23 Augusta St (Hughson St.), Hamilton ON L8N 1P6",317,43.252066,-79.869987,4.2,101.0,37.0,88.0
James S at Charlton,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",520,43.254593,-79.87211,4.0,8.0,4.0,46.0
James S at Charlton,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",588,43.251543,-79.878939,4.0,8.0,4.0,19.0
James S at Charlton,Sam Lawrence Park,Park,"Concession St, Hamilton ON",711,43.244306,-79.866171,4.2,21.0,4.0,53.0
James S at Charlton,Sapporo Japanese Restaurant,Sushi Restaurant,"96 Main St E, Hamilton ON L8N 1G3",703,43.254333,-79.865966,3.9,106.0,39.0,21.0
James S at Charlton,Burrito Boyz,Burrito Restaurant,"66 King St E, Hamilton ON L8N 1A6",794,43.255691,-79.867215,4.2,64.0,16.0,20.0
James S at Charlton,Shoppers Drug Mart,Drugstore,"113 Herkimer St (at Caroline St. S), Hamilton ON L8P 2G8",531,43.250249,-79.879044,3.2,1.0,1.0,
James S at Charlton,Coco Fresh Tea & Juice,Bubble Tea Shop,"96 Main St E, Hamilton ON L8N 1G3",732,43.254333,-79.865966,3.8,11.0,3.0,3.0
James S at Charlton,Hamilton Place,Concert Hall,"1 Summers Lane, Hamilton ON L8P 4Y2",724,43.256295,-79.871722,3.6,57.0,7.0,59.0
James S at Charlton,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",926,43.257258,-79.867202,4.4,54.0,14.0,83.0
James S at Charlton,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",919,43.257213,-79.867056,4.2,22.0,22.0,122.0
James S at Charlton,Art Gallery of Hamilton,Museum,"123 King St W (King St. and Bay St.), Hamilton ON L8P 4S8",881,43.257458,-79.87215,4.0,39.0,12.0,36.0
James S at Charlton,Shakespeare's Steak and Seafood,Diner,"181 Main St E, Hamilton ON L8N 1H2",901,43.253717,-79.862338,4.0,10.0,4.0,1.0
James S at Charlton,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",930,43.257213,-79.867056,4.2,51.0,13.0,34.0
James S at Charlton,The Works Gourmet Burger Bistro - Downtown Hamilton - Jackson Square,Burger Joint,"2 King St W (James Street North), Hamilton ON L8P 1A1",883,43.257206,-79.869326,3.8,58.0,19.0,29.0
James S at Charlton,Lulu's Shawarma,Mediterranean Restaurant,"32 John St N (at King William St.), Hamilton ON L8R 1H3",933,43.256946,-79.866176,4.0,22.0,14.0,6.0
Oxford at York,Mustard Seed Coop,Home Improvement Service,"460 York Blvd, Hamilton ON L8R 3J8",403,43.266122,-79.882104,3.6,11.0,2.0,2.0
Oxford at York,City Window & Glass,Doors and Windows Contractor,"208 Queen St N, Hamilton ON L8R 2W3",220,43.265939,-79.875766,,,,
Oxford at York,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",576,43.259414,-79.878417,4.3,35.0,15.0,8.0
Oxford at York,Bayfront Property Care,Landscaper and Gardener,"Crooks St (at york blvd), Hamilton ON",255,43.266322,-79.880237,,,,
Oxford at York,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",578,43.259332,-79.878032,4.0,11.0,2.0,13.0
Oxford at York,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",596,43.259271,-79.877373,4.0,9.0,2.0,6.0
Oxford at York,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",599,43.259153,-79.877446,3.9,13.0,2.0,7.0
Oxford at York,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",623,43.259057,-79.879423,4.0,8.0,2.0,19.0
Oxford at York,AVL Manufacturing,Metals Supplier,"243 Queen St N (Stuart Street), Hamilton ON L8R 3N6",359,43.267462,-79.875607,,,,
Oxford at York,Hess Village,Neighborhood,Hamilton ON,677,43.258514,-79.877755,4.0,18.0,3.0,9.0
Oxford at York,Bayfront Park,Park,"325 Bay St N (at Strachan St W), Hamilton ON L8L 1M5",814,43.267592,-79.868115,4.4,89.0,13.0,193.0
Oxford at York,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",686,43.258502,-79.878634,3.7,58.0,20.0,36.0
Oxford at York,Dundurn Castle,History Museum,"610 York Blvd, Hamilton ON L8R 3H1",814,43.26944,-79.88468,4.2,54.0,11.0,74.0
Oxford at York,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",879,43.259041,-79.870193,4.3,90.0,14.0,80.0
Oxford at York,Mulberry Street Coffeehouse,Café,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",925,43.261863,-79.866961,4.3,143.0,47.0,122.0
Oxford at York,Carrothers and Associates Inc,Construction,"505 York Blvd, Hamilton ON L8R 3K4",537,43.266768,-79.883883,,,,
Oxford at York,Saint James Espresso Bar & Eatery,Bar,"170 James St N (Cannon), Hamilton ON L8R 2L1",950,43.260862,-79.866884,4.3,27.0,5.0,19.0
Oxford at York,James Street North Art Crawl,Arts and Entertainment,"James St N, Hamilton ON",963,43.260562,-79.867158,4.2,23.0,2.0,19.0
Oxford at York,Charred,BBQ Joint,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",947,43.262759,-79.866231,4.1,49.0,16.0,22.0
Oxford at York,Realtors Association of Hamilton-Burlington,Non-Profit Organization,"505 York Blvd, Hamilton ON L8R 3K4",576,43.266584,-79.884084,,,,
Queen at Peter,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",286,43.259414,-79.878417,4.3,35.0,15.0,8.0
Queen at Peter,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",284,43.259332,-79.878032,4.0,11.0,2.0,13.0
Queen at Peter,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",298,43.259271,-79.877373,4.0,9.0,2.0,6.0
Queen at Peter,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",301,43.259153,-79.877446,3.9,13.0,2.0,7.0
Queen at Peter,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",344,43.259057,-79.879423,4.0,8.0,2.0,19.0
Queen at Peter,Hess Village,Neighborhood,Hamilton ON,379,43.258514,-79.877755,4.0,18.0,3.0,9.0
Queen at Peter,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",394,43.258502,-79.878634,3.7,58.0,20.0,36.0
Queen at Peter,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",696,43.259041,-79.870193,4.3,90.0,14.0,80.0
Queen at Peter,Mustard Seed Coop,Home Improvement Service,"460 York Blvd, Hamilton ON L8R 3J8",606,43.266122,-79.882104,3.6,11.0,2.0,2.0
Queen at Peter,Saint James Espresso Bar & Eatery,Bar,"170 James St N (Cannon), Hamilton ON L8R 2L1",853,43.260862,-79.866884,4.3,27.0,5.0,19.0
Queen at Peter,Mulberry Street Coffeehouse,Café,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",855,43.261863,-79.866961,4.3,143.0,47.0,122.0
Queen at Peter,James Street North Art Crawl,Arts and Entertainment,"James St N, Hamilton ON",849,43.260562,-79.867158,4.2,23.0,2.0,19.0
